Rank,Agency Name,City,Agency Type,Agency Location,Product Category,Points
231,TBWA\Singapore,Singapore,Creative Agency,Singapore,Transport & Tourism,10.6
231,Cossette,Toronto,Creative Agency,Canada,"Non-profit, public sector & education",10.6
233,Dentsu East Japan,Tokyo,Creative Agency,Japan,"Automotive, Media & Publishing",10.5
233,CHINA,Madrid,Creative Agency,Spain,Clothing & Accessories,10.5
233,Leo Burnett,Mexico City,Creative Agency,Mexico,"Automotive, Non-profit, public sector & education",10.5
233,Åkestam Holst,Stockholm,Creative Agency,Sweden,"Non-profit, public sector & education",10.5
237,Dentsu,Tokyo,Creative Agency,Japan,"Automotive, Media & Publishing",10.4
237,Grey,Mumbai,Creative Agency,India,"Media & Publishing, Non-profit, public sector & education, Toiletries & Cosmetics",10.4
237,Six Inc,Tokyo,Creative Agency,Japan,"Media & Publishing, Transport & Tourism",10.4
240,Publicis,Madrid,Creative Agency,Spain,Retail,10.3
241,Havas Worldwide,New York,Creative Agency,USA,Financial Services,10.2
241,R/GA,Portland,Digital/Specialist Agency,USA,Clothing & Accessories,10.2
243,New Moment New Ideas Company,Belgrade,Creative Agency,Serbia,"Non-profit, public sector & education",10.1
244,Edelman,Los Angeles,Digital/Specialist Agency,USA,Technology & Electronics,10
244,Mensch,Copenhagen,Creative Agency,Denmark,Transport & Tourism,10
244,Sansir,Copenhagen,Creative Agency,Denmark,Transport & Tourism,10
244,Leo Burnett,Belgrade,Creative Agency,Serbia,Telecoms & Utilities,10
244,Leo Burnett,Bucharest,Creative Agency,Romania,Telecoms & Utilities,10
244,Gitam BBDO,Tel Aviv,Creative Agency,Israel,Technology & Electronics,10
244,Publicis,Bucharest,Creative Agency,Romania,"Non-profit, public sector & education",10
251,BETC,São Paulo,Creative Agency,Brazil,"Clothing & Accessories, Media & Publishing",9.9
251,Dhélet VMLY&R,Buenos Aires,Creative Agency,Argentina,"Financial Services, Transport & Tourism",9.9
253,Ruf Lanz,Zurich,Creative Agency,Switzerland,Financial Services,9.7
253,Kolle Rebbe,Hamburg,Creative Agency,Germany,"Media & Publishing, Transport & Tourism",9.7
255,Altmann + Pacreau,Paris,Creative Agency,France,"Non-profit, public sector & education",9.5
256,PS21,Madrid,Creative Agency,Spain,"Alcoholic Drinks, Retail",9.3
257,FF,Paris,Creative Agency,France,"Leisure & Entertainment, Non-profit, public sector & education",9.2
258,Wunderman Thompson,Singapore,Creative Agency,Singapore,Toiletries & Cosmetics,8.9
258,DDB,Bogotá,Creative Agency,Colombia,"Household & Domestic, Leisure & Entertainment",8.9
258,DDB,Mexico City,Creative Agency,Mexico,"Non-profit, public sector & education, Retail",8.9
258,Party,Tokyo,Creative Agency,Japan,"Media & Publishing, Toiletries & Cosmetics",8.9
258,VMLY&R,Melbourne,Creative Agency,Australia,"Non-profit, public sector & education",8.9
258,Dentsu One,Bangkok,Creative Agency,Thailand,"Non-profit, public sector & education",8.9
258,Meerkats,Perth,Creative Agency,Australia,"Non-profit, public sector & education",8.9
258,Scholz & Friends,Hamburg,Creative Agency,Germany,Household & Domestic,8.9
258,Zulu Alpha Kilo,Toronto,Creative Agency,Canada,Technology & Electronics,8.9
267,Fallon,London,Creative Agency,UK,Automotive,8.8
267,Publicis.Sapient,New York,Digital/Specialist Agency,USA,Toiletries & Cosmetics,8.8
267,Commonwealth//McCann,Dubai,Creative Agency,United Arab Emirates,Automotive,8.8
267,VMLY&R,Auckland,Creative Agency,New Zealand,Financial Services,8.8
271,Leo Burnett,Mumbai,Creative Agency,India,"Automotive, Financial Services, Non-profit, public sector & education",8.7
272,Cheil,São Paulo,Creative Agency,Brazil,Retail,8.4
272,NOSSA,Algés,Creative Agency,Brazil,"Non-profit, public sector & education",8.4
272,Publicis,Quito,Creative Agency,Ecuador,"Media & Publishing, Transport & Tourism",8.4
275,ISD Group,Kiev,Digital/Specialist Agency,Ukraine,Media & Publishing,8.3
275,Nord DDB,Stockholm,Creative Agency,Sweden,"Automotive, Clothing & Accessories, Retail",8.3
275,Taproot Dentsu,Mumbai,Creative Agency,India,Household & Domestic,8.3
275,MRM//McCann,Singapore,Digital/Specialist Agency,Singapore,Media & Publishing,8.3
279,The Odd Number,Johannesburg,Creative Agency,South Africa,"Media & Publishing, Non-profit, public sector & education",8.2
280,Loong,Beijing,Creative Agency,China (Mainland),"Non-profit, public sector & education",8
281,Grey,Kuala Lumpur,Creative Agency,Malaysia,Retail,7.7
282,Uncommon Creative Studio,London,Creative Agency,UK,Media & Publishing,7.6
282,BBDO Guerrero,Makati,Creative Agency,Philippines,Food,7.6
282,Wolf Bkk,Bangkok,Creative Agency,Thailand,"Financial Services, Media & Publishing",7.6
285,Ogilvy,London,Creative Agency,UK,"Alcoholic Drinks, Transport & Tourism",7.5
286,Imagination,Sydney,Digital/Specialist Agency,Australia,Technology & Electronics,7.4
286,The Brand Agency,Perth,Creative Agency,Australia,"Non-profit, public sector & education",7.4
288,Coolr,London,Creative Agency,UK,Retail,7.2
288,Momentum,New York,Digital/Specialist Agency,USA,"Clothing & Accessories, Financial Services",7.2
288,ONLY IF,Mexico City,Creative Agency,Mexico,"Alcoholic Drinks, Media & Publishing",7.2
288,Publicis,São Paulo,Creative Agency,Brazil,"Alcoholic Drinks, Financial Services",7.2
288,TBWA\London,London,Creative Agency,UK,Financial Services,7.2
293,Fold7,London,Creative Agency,UK,Alcoholic Drinks,7.1
294,The Monkeys,Sydney,Creative Agency,Australia,"Clothing & Accessories, Non-profit, public sector & education",7
294,R/GA,London,Digital/Specialist Agency,UK,Business & Industrial,7
294,Rethink,Montreal,Creative Agency,Canada,"Non-profit, public sector & education, Retail",7
297,CLM BBDO,Paris,Creative Agency,France,Household & Domestic,6.8
297,DDB,Vienna,Creative Agency,Austria,Retail,6.8
297,Ponce,Buenos Aires,Creative Agency,Argentina,Media & Publishing,6.8
297,Saatchi & Saatchi,Los Angeles,Creative Agency,USA,Automotive,6.8
297,TAXI,Toronto,Creative Agency,Canada,Food,6.8
297,Blink Digital,Mumbai,Digital/Specialist Agency,India,Technology & Electronics,6.8
297,Energy BBDO,Chicago,Creative Agency,USA,"Food, Household & Domestic",6.8
304,Doner,Michigan,Creative Agency,USA,Food,6.7
304,Engine,New York,Creative Agency,USA,Media & Publishing,6.7
304,MullenLowe,Boston,Creative Agency,USA,Retail,6.7
304,Wunderman Thompson,London,Creative Agency,UK,Financial Services,6.7
308,DUKE,Cape Town,Creative Agency,South Africa,"Non-profit, public sector & education, Soft Drinks",6.6
309,BBDO,Berlin,Creative Agency,Germany,"Automotive, Non-profit, public sector & education",6.4
310,d4 McCann,Guatemala City,Creative Agency,Guatemala,Transport & Tourism,6.3
310,Geometry,Bogotá,Digital/Specialist Agency,Colombia,"Non-profit, public sector & education",6.3
310,Geometry,Mexico City,Digital/Specialist Agency,Mexico,"Non-profit, public sector & education",6.3
310,Grey,Bogotá,Creative Agency,Colombia,"Media & Publishing, Toiletries & Cosmetics",6.3
310,La Familia,Santiago,Creative Agency,Chile,"Non-profit, public sector & education",6.3
310,Publicis Impetu,Montevideo,Creative Agency,Uruguay,Telecoms & Utilities,6.3
310,SunsetDDB,São Paulo,Creative Agency,Brazil,Alcoholic Drinks,6.3
317,River,Stockholm,Creative Agency,Sweden,Financial Services,6.2
317,GTB,Johannesburg,Creative Agency,South Africa,Automotive,6.2
317,Havas Worldwide,Johannesburg,Creative Agency,South Africa,"Non-profit, public sector & education",6.2
317,MullenLowe,Dubai,Creative Agency,United Arab Emirates,"Automotive, Household & Domestic",6.2
321,DDB,Warsaw,Creative Agency,Poland,Retail,6
321,Folk,Helsinki,Creative Agency,Finland,Retail,6
321,McCann,Prague,Creative Agency,Czech Republic,Soft Drinks,6
321,McCann,Milan,Creative Agency,Italy,Alcoholic Drinks,6
321,MRM//McCann,Milan,Digital/Specialist Agency,Italy,Alcoholic Drinks,6
321,Saatchi & Saatchi,Sofia,Creative Agency,Bulgaria,Automotive,6
321,Serviceplan,Milan,Creative Agency,Italy,Media & Publishing,6
321,Per Høj,Oslo,Creative Agency,Norway,Financial Services,6
329,BBDO,Shanghai,Creative Agency,China (Mainland),Food,5.9
329,Juniper Park\TBWA,Toronto,Creative Agency,Canada,"Non-profit, public sector & education",5.9
329,Ogilvy,Athens,Creative Agency,Greece,Telecoms & Utilities,5.9
332,Tribal Worldwide,São Paulo,Digital/Specialist Agency,Brazil,Automotive,5.7
333,DDB Mudra Group,Mumbai,Creative Agency,India,Media & Publishing,5.3
333,Dentsu,Taipei,Creative Agency,Taiwan,Business & Industrial,5.3
333,Encompass,Mumbai,Digital/Specialist Agency,India,Toiletries & Cosmetics,5.3
333,Famous Innovations,Mumbai,Creative Agency,India,"Non-profit, public sector & education",5.3
333,Grey,Tokyo,Creative Agency,Japan,Toiletries & Cosmetics,5.3
333,Host/Havas,Sydney,Creative Agency,Australia,Transport & Tourism,5.3
333,J. Walter Thompson,Taipei,Creative Agency,Taiwan,"Non-profit, public sector & education, Retail",5.3
333,Mullenlowe,Singapore,Creative Agency,Singapore,Toiletries & Cosmetics,5.3
333,Publicis,Brisbane,Creative Agency,Australia,Transport & Tourism,5.3
333,TBWA\Sri Lanka,Colombo,Creative Agency,Sri Lanka,Household & Domestic,5.3
333,Triad,Colombo,Creative Agency,Sri Lanka,"Non-profit, public sector & education",5.3
344,Flock,Jakarta,Creative Agency,Indonesia,Transport & Tourism,5.1
344,Sour,Bangkok,Creative Agency,Thailand,"Media & Publishing, Retail",5.1
346,AKQA,Shanghai,Creative Agency,China (Mainland),Clothing & Accessories,4.9
346,Hakuhodo,Hong Kong,Creative Agency,Hong Kong,"Non-profit, public sector & education",4.9
346,Lobster & Co,Bangkok,Creative Agency,Thailand,Toiletries & Cosmetics,4.9
346,Petch,Makati,Creative Agency,Philippines,Retail,4.9
350,Anorak,Oslo,Creative Agency,Norway,Media & Publishing,4.7
350,Romance,Paris,Creative Agency,France,Retail,4.7
352,FP7/CAI,Cairo,Creative Agency,Egypt,Soft Drinks,4.6
353,Anomaly,Los Angeles,Creative Agency,USA,Clothing & Accessories,4.5
353,TBWA\Korea,Seoul,Creative Agency,South Korea,Retail,4.5
355,Wieden+Kennedy,Amsterdam,Creative Agency,Netherlands,Clothing & Accessories,4.4
355,Wunderman,Dubai,Digital/Specialist Agency,United Arab Emirates,Toiletries & Cosmetics,4.4
357,(anónimo),Mexico City,Creative Agency,Mexico,Alcoholic Drinks,4.2
357,Capim.AG,Cascavel,Creative Agency,Brazil,Automotive,4.2
357,Copiloto,Lima,Creative Agency,Peru,Media & Publishing,4.2
357,DPZ&T,São Paulo,Creative Agency,Brazil,Retail,4.2
357,Figallo,Mexico City,Creative Agency,Mexico,Business & Industrial,4.2
357,Geometry,San José,Digital/Specialist Agency,Costa Rica,"Non-profit, public sector & education",4.2
357,Grey,Los Angeles,Creative Agency,USA,Toiletries & Cosmetics,4.2
357,Havas Health & You,São Paulo,Digital/Specialist Agency,Brazil,Media & Publishing,4.2
357,Leo Burnett,Bogotá,Creative Agency,Colombia,Retail,4.2
357,Maruri Grey,Guayaquil,Creative Agency,Ecuador,Food,4.2
357,McCann,Santiago,Creative Agency,Chile,"Leisure & Entertainment, Non-profit, public sector & education",4.2
357,McCann,Barcelona,Creative Agency,Spain,Soft Drinks,4.2
357,TBWA\Frederick,Santiago,Creative Agency,Chile,"Media & Publishing, Soft Drinks",4.2
357,Tribal 121,Lima,Digital/Specialist Agency,Peru,Household & Domestic,4.2
357,WMcCann,São Paulo,Creative Agency,Brazil,Financial Services,4.2
357,Arts & Letters Creative Co.,Richmond,Creative Agency,USA,Technology & Electronics,4.2
357,Pulse Creative,London,Creative Agency,UK,Media & Publishing,4.2
374,FCB,Durban,Creative Agency,South Africa,Media & Publishing,4.1
374,MADE Agency,Cape Town,Creative Agency,South Africa,"Non-profit, public sector & education",4.1
374,McCann1886,Johannesburg,Creative Agency,South Africa,Telecoms & Utilities,4.1
374,Openfield,Johannesburg,Digital/Specialist Agency,South Africa,Telecoms & Utilities,4.1
378,Change Serviceplan,Warsaw,Creative Agency,Poland,Retail,4
378,Concept,Istanbul,Creative Agency,Turkey,Automotive,4
378,GONG,Gliwice,Creative Agency,Poland,Alcoholic Drinks,4
378,Havas Worldwide,Prague,Creative Agency,Czech Republic,"Non-profit, public sector & education",4
378,Mainstage the agency,Bucharest,Creative Agency,Romania,Retail,4
378,MullenLowe,Bucharest,Creative Agency,Romania,Retail,4
378,Serviceplan,Vienna,Creative Agency,Austria,Transport & Tourism,4
378,VMLY&R,Prague,Creative Agency,Czech Republic,"Non-profit, public sector & education",4
386,4129Grey,Istanbul,Digital/Specialist Agency,Turkey,"Non-profit, public sector & education",3.7
386,M/H VCCP,San Francisco,Creative Agency,USA,"Non-profit, public sector & education",3.7
388,BBDO,Buenos Aires,Creative Agency,Argentina,Pharma & Healthcare,3.6
388,Deutsch,New York,Creative Agency,USA,Alcoholic Drinks,3.6
388,Digitas,New York,Digital/Specialist Agency,USA,Financial Services,3.6
388,FamousGrey,Brussels,Creative Agency,Belgium,"Non-profit, public sector & education",3.6
388,Interesting Times,Beirut,Creative Agency,Lebanon,Alcoholic Drinks,3.6
388,Jotabequ Grey,San José,Creative Agency,Costa Rica,Food,3.6
388,Karmarama,London,Creative Agency,UK,"Non-profit, public sector & education",3.6
388,Leo Burnett Tailor Made,São Paulo,Creative Agency,Brazil,Media & Publishing,3.6
388,Momentum,Toronto,Digital/Specialist Agency,Canada,Clothing & Accessories,3.6
388,MullenLowe,Bangkok,Creative Agency,Thailand,Household & Domestic,3.6
388,NBS,Rio de Janeiro,Creative Agency,Brazil,Leisure & Entertainment,3.6
388,Officer&Gentleman,Madrid,Creative Agency,Spain,Leisure & Entertainment,3.6
388,Ogilvy,Madrid,Creative Agency,Spain,"Non-profit, public sector & education",3.6
388,Pereira O'Dell,San Francisco,Creative Agency,USA,Technology & Electronics,3.6
388,Rosapark,Paris,Creative Agency,France,Transport & Tourism,3.6
388,RPA,Los Angeles,Creative Agency,USA,Automotive,3.6
388,Special Group,Auckland,Creative Agency,New Zealand,Retail,3.6
388,TBWA\Chiat\Day,Los Angeles,Creative Agency,USA,Media & Publishing,3.6
388,TBWA\España,Madrid,Creative Agency,Spain,Technology & Electronics,3.6
388,TBWA\Shanghai,Shanghai,Creative Agency,China (Mainland),Clothing & Accessories,3.6
388,Venables Bell & Partner,San Francisco,Creative Agency,USA,Clothing & Accessories,3.6
388,Victory Creative Group,Toronto,Digital/Specialist Agency,Canada,Clothing & Accessories,3.6
388,whiteGREY,Sydney,Creative Agency,Australia,Automotive,3.6
388,Wolf BCPP,Santiago,Creative Agency,Chile,"Non-profit, public sector & education",3.6
412,BBDO,Düsseldorf,Creative Agency,Germany,"Non-profit, public sector & education",3.4
412,Carne,Lima,Creative Agency,Peru,Leisure & Entertainment,3.4
412,CDM,New York,Digital/Specialist Agency,USA,"Non-profit, public sector & education",3.4
412,Cheil,Amsterdam,Creative Agency,Netherlands,Technology & Electronics,3.4
412,DiMassimo Goldstein,New York,Creative Agency,USA,Media & Publishing,3.4
412,Havas Worldwide,Düsseldorf,Creative Agency,Germany,Media & Publishing,3.4
412,HelloFCB+,Cape Town,Creative Agency,South Africa,Retail,3.4
412,Innocean Worldwide,São Paulo,Creative Agency,Brazil,Automotive,3.4
412,Iris,London,Creative Agency,UK,"Non-profit, public sector & education",3.4
412,mcgarrybowen,London,Creative Agency,UK,Retail,3.4
412,Ogilvy,Auckland,Creative Agency,New Zealand,"Non-profit, public sector & education",3.4
412,Ogilvy,Taguig,Creative Agency,Philippines,Toiletries & Cosmetics,3.4
412,Pagés BBDO,Santo Domingo,Creative Agency,Dominican Republic,Retail,3.4
412,Proximity,Düsseldorf,Digital/Specialist Agency,Germany,"Non-profit, public sector & education",3.4
412,Virtue,New York,Creative Agency,USA,Leisure & Entertainment,3.4
412,Wieden+Kennedy,London,Creative Agency,UK,Telecoms & Utilities,3.4
412,Wunderman Thompson,Sydney,Creative Agency,Australia,Clothing & Accessories,3.4
412,AKQA,Portland,Creative Agency,USA,Technology & Electronics,3.4
412,ANR BBDO,Stockholm,Creative Agency,Sweden,"Non-profit, public sector & education",3.4
412,Dare.Win,Paris,Creative Agency,France,Media & Publishing,3.4
412,Havas Paris Seven,Paris,Creative Agency,France,Transport & Tourism,3.4
412,Isobar,Paris,Digital/Specialist Agency,France,Transport & Tourism,3.4
412,Listen,New York,Digital/Specialist Agency,USA,Technology & Electronics,3.4
412,Publicis,Amsterdam,Creative Agency,Netherlands,Transport & Tourism,3.4
412,Publicis Pixelpark,Erlangen,Digital/Specialist Agency,Germany,Clothing & Accessories,3.4
412,Publicis Pixelpark,Frankfurt,Digital/Specialist Agency,Germany,Clothing & Accessories,3.4
412,Rethink,Toronto,Creative Agency,Canada,Retail,3.4
412,Rethink,Vancouver,Creative Agency,Canada,Retail,3.4
440,Café Communications,Budapest,Creative Agency,Hungary,Automotive,3
440,Digitas,Sydney,Digital/Specialist Agency,Australia,Technology & Electronics,3
440,McKinney,Durham,Creative Agency,USA,"Non-profit, public sector & education",3
440,MRM//McCann,New York,Digital/Specialist Agency,USA,Telecoms & Utilities,3
440,MullenLowe Delta,Quito,Creative Agency,Ecuador,Financial Services,3
440,Saatchi & Saatchi,New York,Creative Agency,USA,Household & Domestic,3
446,Anomaly,Shanghai,Creative Agency,China (Mainland),Transport & Tourism,2.7
446,Kit Pben Lert,Bangkok,Creative Agency,Thailand,"Non-profit, public sector & education",2.7
446,McCann Health,Singapore,Creative Agency,Singapore,"Non-profit, public sector & education",2.7
446,Ogilvy,Melbourne,Creative Agency,Australia,"Non-profit, public sector & education",2.7
446,Ogilvy,Tokyo,Creative Agency,Japan,Household & Domestic,2.7
446,Overman,Seoul,Creative Agency,South Korea,"Non-profit, public sector & education",2.7
446,W,Shanghai,Creative Agency,China (Mainland),Retail,2.7
446,Wunderman Thompson,Tokyo,Creative Agency,Japan,Pharma & Healthcare,2.7
446,ZHENG&Co.,Guangzhou,Creative Agency,China (Mainland),Transport & Tourism,2.7
455,Dentsu,Singapore,Creative Agency,Singapore,"Non-profit, public sector & education",2.5
455,Dentsu Digital,Tokyo,Digital/Specialist Agency,Japan,Alcoholic Drinks,2.5
455,Frontage,Tokyo,Creative Agency,Japan,Media & Publishing,2.5
455,Geometry,Tokyo,Digital/Specialist Agency,Japan,Retail,2.5
455,Gigil,Manila,Creative Agency,Philippines,Toiletries & Cosmetics,2.5
455,Insight Group,Guangzhou,Creative Agency,China (Mainland),Technology & Electronics,2.5
455,Inspire,Shanghai,Creative Agency,China (Mainland),Food,2.5
455,McCann,Taipei,Creative Agency,Taiwan,Financial Services,2.5
455,The Nine,Shanghai,Creative Agency,China (Mainland),Technology & Electronics,2.5
455,WATConsult,Mumbai,Digital/Specialist Agency,India,"Non-profit, public sector & education",2.5
465,BBDO,Brussels,Creative Agency,Belgium,Retail,2.4
465,Duval Guillaume,Brussels,Creative Agency,Belgium,"Non-profit, public sector & education",2.4
465,Friends,Moscow,Creative Agency,Russia,Telecoms & Utilities,2.4
465,House of Radon,Stockholm,Creative Agency,Sweden,"Non-profit, public sector & education",2.4
465,JWT Folk,Dublin,Creative Agency,Ireland,Telecoms & Utilities,2.4
465,King,Stockholm,Creative Agency,Sweden,"Non-profit, public sector & education",2.4
465,Ogilvy,Paris,Creative Agency,France,Toiletries & Cosmetics,2.4
465,Publicis,Istanbul,Creative Agency,Turkey,Automotive,2.4
465,Serviceplan,Berlin,Creative Agency,Germany,Transport & Tourism,2.4
465,TRY Reklame,Oslo,Creative Agency,Norway,Media & Publishing,2.4
475,Leo Burnett,Cairo,Creative Agency,Egypt,Food,2.3
476,77 Media,Jeddah,Digital/Specialist Agency,Saudi Arabia,Transport & Tourism,2.2
476,Geometry,Dubai,Digital/Specialist Agency,United Arab Emirates,Media & Publishing,2.2
476,Leo Burnett,Riyadh,Creative Agency,Saudi Arabia,Retail,2.2
476,The Classic Partnership,Dubai,Creative Agency,United Arab Emirates,"Non-profit, public sector & education",2.2
476,La América,Buenos Aires,Creative Agency,Argentina,Alcoholic Drinks,2.2
476,McCann Health,São Paulo,Creative Agency,Brazil,Pharma & Healthcare,2.2
482,Agencia Montalvo,Mexico City,Creative Agency,Mexico,Clothing & Accessories,2.1
482,Artplan,São Paulo,Creative Agency,Brazil,Retail,2.1
482,DDB,Barcelona,Creative Agency,Spain,Automotive,2.1
482,De la Cruz & Associates,Guaynabo,Creative Agency,Puerto Rico,"Non-profit, public sector & education",2.1
482,Delantero Comunicação,Fortaleza,Creative Agency,Brazil,Leisure & Entertainment,2.1
482,Drop & Vase,Barcelona,Creative Agency,Spain,Retail,2.1
482,el taier DDB Centro,Guatemala City,Creative Agency,Guatemala,"Non-profit, public sector & education",2.1
482,Grey,Mexico City,Creative Agency,Mexico,Alcoholic Drinks,2.1
482,Grupo Creativo Herrera,Quito,Creative Agency,Ecuador,Household & Domestic,2.1
482,Happy Punk Panda,San Salvador,Digital/Specialist Agency,El Salvador,Clothing & Accessories,2.1
482,Havas Worldwide,Lisbon,Creative Agency,Portugal,"Non-profit, public sector & education",2.1
482,Integratto,Jalisco,Creative Agency,Mexico,Soft Drinks,2.1
482,McCann,Bogotá,Creative Agency,Colombia,Transport & Tourism,2.1
482,McCann,Quito,Creative Agency,Ecuador,Media & Publishing,2.1
482,McCann,Mexico City,Creative Agency,Mexico,Retail,2.1
482,Propeg,Salvador,Creative Agency,Brazil,Toiletries & Cosmetics,2.1
482,Publicis,Bogotá,Creative Agency,Colombia,Automotive,2.1
482,Publicis,Mexico City,Creative Agency,Mexico,Automotive,2.1
482,TBWA\Buenos Aires,Buenos Aires,Creative Agency,Argentina,Financial Services,2.1
482,TBWA\Colombia,Bogotá,Creative Agency,Colombia,Business & Industrial,2.1
482,The Electric Factory,Montevideo,Digital/Specialist Agency,Uruguay,Automotive,2.1
482,Yslandia,Madrid,Creative Agency,Spain,Soft Drinks,2.1
482,Abnormal,Johannesburg,Creative Agency,South Africa,Business & Industrial,2.1
482,DDB,Johannesburg,Creative Agency,South Africa,"Non-profit, public sector & education",2.1
482,Grey,Johannesburg,Creative Agency,South Africa,Toiletries & Cosmetics,2.1
482,Grid Worldwide,Johannesburg,Creative Agency,South Africa,"Non-profit, public sector & education",2.1
482,Horizon FCB,Dubai,Creative Agency,United Arab Emirates,Household & Domestic,2.1
482,J. Walter Thompson,Johannesburg,Creative Agency,South Africa,Alcoholic Drinks,2.1
482,Ogilvy,Nairobi,Creative Agency,Kenya,Soft Drinks,2.1
482,Promise,Johannesburg,Creative Agency,South Africa,Alcoholic Drinks,2.1
482,Publicis,Johannesburg,Creative Agency,South Africa,Automotive,2.1
482,RAPP,Dubai,Digital/Specialist Agency,United Arab Emirates,Retail,2.1
,,,,,,
© WARC 2021. Please refer to https://warc.com/rankings/creative-100/methodology for further information,,,,,,